----------------------------------------
Begin Torque Prologue (Mon May  4 13:07:20 2020)
Job ID:           10847702.cc-mgmt1.campuscluster.illinois.edu
Username:         stv3
Group:            sp20-cs543r-eng
Job Name:         vanilla_script
Limits:           walltime=04:00:00,nodes=1:ppn=16:P100,neednodes=1:ppn=16:P100
Job Queue:        eng-instruction
Account:          eng-instruction
Nodes:            ccc0058
End Torque Prologue
----------------------------------------
/home/stv3/.conda/envs/cv/lib/python3.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='elementwise_mean' instead.
  warnings.warn(warning.format(ret))
2020-05-04 13:07:26,722 : Epoch 1: Train time 00h 00m 00s, Training started
2020-05-04 13:07:28,390 : Train time 00h 00m 01s Batch 0 CEloss 3.107145071029663
2020-05-04 13:07:29,355 : Train time 00h 00m 02s Batch 1 CEloss 3.065396785736084
2020-05-04 13:07:30,163 : Train time 00h 00m 03s Batch 2 CEloss 3.0345957279205322
2020-05-04 13:07:31,053 : Train time 00h 00m 04s Batch 3 CEloss 3.0426201820373535
2020-05-04 13:07:31,940 : Train time 00h 00m 04s Batch 4 CEloss 3.0545148849487305
2020-05-04 13:07:32,796 : Train time 00h 00m 05s Batch 5 CEloss 2.9820964336395264
2020-05-04 13:07:33,630 : Train time 00h 00m 06s Batch 6 CEloss 2.933051109313965
2020-05-04 13:07:34,430 : Train time 00h 00m 07s Batch 7 CEloss 2.884138822555542
2020-05-04 13:07:35,289 : Train time 00h 00m 08s Batch 8 CEloss 2.874446153640747
2020-05-04 13:07:36,062 : Train time 00h 00m 09s Batch 9 CEloss 2.8650662899017334
2020-05-04 13:07:36,931 : Train time 00h 00m 09s Batch 10 CEloss 2.8628745079040527
2020-05-04 13:07:37,861 : Train time 00h 00m 10s Batch 11 CEloss 2.8953676223754883
2020-05-04 13:07:38,721 : Train time 00h 00m 11s Batch 12 CEloss 2.7710392475128174
2020-05-04 13:07:39,510 : Train time 00h 00m 12s Batch 13 CEloss 2.791085720062256
2020-05-04 13:07:40,364 : Train time 00h 00m 13s Batch 14 CEloss 2.826179027557373
2020-05-04 13:07:41,179 : Train time 00h 00m 14s Batch 15 CEloss 2.7234668731689453
2020-05-04 13:07:42,032 : Train time 00h 00m 14s Batch 16 CEloss 2.7738564014434814
2020-05-04 13:07:42,989 : Train time 00h 00m 15s Batch 17 CEloss 2.6806530952453613
2020-05-04 13:07:43,833 : Train time 00h 00m 16s Batch 18 CEloss 2.7318522930145264
2020-05-04 13:07:44,757 : Train time 00h 00m 17s Batch 19 CEloss 2.6796677112579346
2020-05-04 13:07:45,560 : Train time 00h 00m 18s Batch 20 CEloss 2.5966544151306152
2020-05-04 13:07:46,434 : Train time 00h 00m 19s Batch 21 CEloss 2.6285805702209473
2020-05-04 13:07:47,371 : Train time 00h 00m 20s Batch 22 CEloss 2.6375036239624023
2020-05-04 13:07:48,221 : Train time 00h 00m 21s Batch 23 CEloss 2.572819232940674
2020-05-04 13:07:49,005 : Train time 00h 00m 21s Batch 24 CEloss 2.522869110107422
2020-05-04 13:07:49,811 : Train time 00h 00m 22s Batch 25 CEloss 2.486293077468872
2020-05-04 13:07:50,628 : Train time 00h 00m 23s Batch 26 CEloss 2.4678194522857666
